#STEPS          TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        SURF_TENSION    VOLUME          
1000              5.62406143e+07  2.26022550e+05  3.80201000e+02  9.78346288e+02  2.09784673e+03  1.16255837e+04
2000              4.08300882e+07  1.62942299e+05  3.70409000e+02  9.12561322e+02  4.04957906e+02  1.21477107e+04
3000              1.96985968e+07  7.41415166e+04  3.62274000e+02  8.62197789e+02  1.96743175e+03  1.25707178e+04
4000              1.13252240e+07  4.19876887e+04  3.58996000e+02  8.35543545e+02  4.63330748e+02  1.28545435e+04
5000              6.94747589e+06  2.56341663e+04  3.59859000e+02  8.06742806e+02  4.01802502e+02  1.33460457e+04
6000              3.86924155e+06  1.41702011e+04  3.54190000e+02  7.57244902e+02  2.47788923e+02  1.39985427e+04
7000              1.71212993e+06  6.50860070e+03  3.51544000e+02  7.15901250e+02  2.95219047e+01  1.46916049e+04
8000              4.96528066e+05  2.50790748e+03  3.51241000e+02  6.84119017e+02  3.83136606e+01  1.53617319e+04
9000             -4.10994785e+05 -2.69892848e+02  3.52179000e+02  6.77548038e+02 -5.86304421e+01  1.55511429e+04
10000            -2.53713000e+05  1.87000459e+02  3.52276000e+02  6.89596556e+02 -1.36840364e+01  1.52823065e+04
11000            -3.84543203e+05 -2.04988054e+02  3.51588000e+02  7.00435168e+02 -3.44825204e+01  1.50163721e+04
12000            -3.49767035e+05 -1.00988695e+02  3.52121000e+02  7.11336760e+02 -1.86233051e+00  1.48096870e+04
13000            -1.74067905e+05  4.51422935e+02  3.53614000e+02  7.18082304e+02  5.50853254e+01  1.47316677e+04
14000            -4.17159493e+05 -3.03449206e+02  3.53116000e+02  7.24296230e+02  2.21243289e+01  1.45857717e+04
15000            -1.68699486e+05  4.79973442e+02  3.54978000e+02  7.37544928e+02 -7.92674652e+01  1.43982199e+04
16000            -3.19835226e+05 -1.07134988e+00  3.55952000e+02  7.44893392e+02 -9.07460482e+01  1.42955892e+04
17000            -4.53295776e+05 -4.28345292e+02  3.55840000e+02  7.51204018e+02 -1.64699293e+01  1.41710693e+04
18000            -2.38681189e+05  2.72486675e+02  3.58867000e+02  7.61730010e+02 -4.36184274e+01  1.40945817e+04
19000            -1.66906537e+05  5.21107937e+02  3.61202000e+02  7.76743126e+02 -8.70021530e+01  1.39113122e+04
20000            -3.87389642e+05 -2.00658061e+02  3.63855000e+02  7.81413592e+02 -7.05668406e+01  1.39299142e+04
21000            -4.87841177e+05 -5.25593128e+02  3.65101000e+02  7.83915718e+02 -3.40599539e+01  1.39333890e+04
22000            -5.97460444e+05 -8.80956226e+02  3.66866000e+02  7.93676527e+02 -4.87954856e+01  1.38285964e+04
23000            -5.69623717e+05 -7.86642372e+02  3.69709000e+02  8.04740243e+02 -6.97003483e+01  1.37439944e+04
24000            -5.53857091e+05 -7.25295839e+02  3.72280000e+02  8.02058898e+02 -4.17437335e+01  1.38859427e+04
