#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        SURF_TENSION    HEAT_VAP        
1000             -4.23686078e+03  1.43412143e+03 -1.89927655e+00  0.00000000e+00  0.00000000e+00 -5.66908293e+03 -4.90198005e+03  8.21488989e+04 -1.39465024e+01  7.60808574e-01  1.30618000e+02  5.60784485e-01 -5.72073106e-03 -7.50410544e+01
2000             -7.15840744e+03  1.59409834e+03 -2.02510040e+00  0.00000000e+00  0.00000000e+00 -8.75048068e+03 -7.44743637e+03  8.43419436e+04 -2.24495600e+03  7.69880251e-01  1.34860000e+02  5.78996736e-01 -4.25965338e-02 -5.91655512e+01
3000             -7.53539576e+03  1.63317434e+03 -2.33296437e+00  0.00000000e+00  0.00000000e+00 -9.16623714e+03 -7.82800568e+03  9.06163707e+04 -2.12011767e+03  8.24192056e-01  1.44756000e+02  6.21483401e-01 -1.51751684e-02 -3.42951954e+01
4000             -6.98084693e+03  1.67803551e+03 -2.50005455e+00  0.00000000e+00  0.00000000e+00 -8.65638239e+03 -7.83566971e+03  9.43943013e+04 -9.43483505e+02  8.73556153e-01  1.49862000e+02  6.43405078e-01 -3.20418326e-02 -1.98052371e+01
5000             -8.31596155e+03  2.18850511e+03 -2.64011111e+00  0.00000000e+00  0.00000000e+00 -1.05018266e+04 -9.48606061e+03  9.68423931e+04 -7.14573531e+02  8.98833580e-01  1.54010000e+02  6.61213757e-01 -3.01308749e-02 -7.36335663e+00
6000             -8.99803618e+03  2.97981892e+03 -2.61964223e+00  0.00000000e+00  0.00000000e+00 -1.19752355e+04 -1.12946855e+04  9.68036296e+04  1.18005866e+04  9.93376897e-01  1.53412000e+02  6.58646354e-01 -1.25406144e-01  8.78186931e-01
7000             -8.82861869e+03  2.75005392e+03 -2.73170472e+00  0.00000000e+00  0.00000000e+00 -1.15759409e+04 -1.08950152e+04  9.88709993e+04  2.95928133e+03  9.40937780e-01  1.56657000e+02  6.72578167e-01 -5.62373562e-02  5.64188905e+00
8000             -9.60624890e+03  2.63890595e+03 -2.83848850e+00  0.00000000e+00  0.00000000e+00 -1.22423164e+04 -1.12179181e+04  1.00459650e+05  2.41310787e+03  9.55157503e-01  1.59692000e+02  6.85608385e-01 -5.59862936e-02  1.03001597e+01
9000             -1.06008674e+04  2.83600319e+03 -2.84999226e+00  0.00000000e+00  0.00000000e+00 -1.34340206e+04 -1.23526760e+04  1.00609323e+05 -3.88566183e+03  9.25426041e-01  1.60016000e+02  6.86999419e-01 -8.31973487e-03  1.38951326e+01
10000            -1.08922131e+04  4.60303487e+03 -2.82020675e+00  0.00000000e+00  0.00000000e+00 -1.54924277e+04 -1.47669284e+04  1.00434041e+05  2.13098640e+04  1.08589991e+00  1.59178000e+02  6.83401620e-01 -5.07905066e-02  1.66634576e+01
